,CLIMBER,MYEAR,SEX,CITIZEN,SHERPA,DEATHNOTE
41823,Rick Howe Hitch,2011.0,M,USA,non-sherpa,Fatal heart attack
41974,Takashi Ozaki,2011.0,M,Japan,non-sherpa,
42221,John Delaney,2011.0,M,Ireland,non-sherpa,
42303,Lhakpa Nuru Sherpa,2009.0,M,Nepal,sherpa,
42407,Hiroshi Ogasawara,2010.0,M,Japan,non-sherpa,Collapsed at 8400m on 24 May 2010 (exhausted or heart-related problem)
42741,Peter Kinloch,2010.0,M,UK,non-sherpa,
43084,Laszlo Alfred (Konyi) Varkonyi,2010.0,M,Hungary,non-sherpa,
43259,Shailendra Kumar Upadhyay,2011.0,M,Nepal,non-sherpa,Death due to AMS or heart attack?
43549,Shriya Shah-Klorfine,2012.0,F,Canada,non-sherpa,
43770,Dawa Tenzing (Da Tenzing) Sherpa,2012.0,M,Nepal,sherpa,Collapsed on 1 May due to probable stroke
43780,Ramesh Narad Gulave,2012.0,M,India,non-sherpa,"Stroke at BC on April 20 (died in Pune, India on 27 April)"
43853,Won-Bin Song,2012.0,M,S Korea,non-sherpa,
43919,Erich Eberhard Schaaf,2012.0,M,Germany,non-sherpa,
43987,Karsang Namgyal/Namgel Sherpa,2012.0,M,Nepal,sherpa,Died of alcohol poisoning
43988,Namgyal Tshering (Namgyal Chhiri) Sherpa,2012.0,M,Nepal,sherpa,
43989,Ralf Dieter Arnold,2012.0,M,Germany,non-sherpa,
43991,Juan Jose Polo Carbayo,2012.0,M,Spain,non-sherpa,
43992,Wen-Yi Ha,2012.0,M,China,non-sherpa,
44383,Namgyal Sherpa,2013.0,M,Nepal,sherpa,Died of apparent heart attack (est. 8200m)
44390,Alexei Bolotov,2013.0,M,Russia,non-sherpa,
44696,Sergey Ponomarev,2013.0,M,Russia,non-sherpa,Died of apparent heart attack
44817,Mingma Sherpa,2013.0,M,Nepal,sherpa,
44825,Da Rita Sherpa,2013.0,M,Nepal,sherpa,
44918,Lobsang Sherpa,2013.0,M,Nepal,sherpa,
44959,Mohammed Khalid Hossain,2013.0,M,Bangladesh,non-sherpa,Died in tent after descending from summit
44960,Sung-Ho Seo,2013.0,M,S Korea,non-sherpa,
45148,Mingma Nuru Sherpa,2014.0,M,Nepal,sherpa,
45149,Dorje Sherpa,2014.0,M,Nepal,sherpa,
45150,Pasang Karma Sherpa,2014.0,M,Nepal,sherpa,
45151,Dorje Khatri,2014.0,M,Nepal,non-sherpa,
45152,Phur Temba Sherpa,2014.0,M,Nepal,sherpa,
45153,Thendorje (Thendu Dorje) Sherpa,2014.0,M,Nepal,sherpa,
45154,Mingma Tenzing Sherpa,2014.0,M,Nepal,sherpa,
45155,Chhiring Ongchu Sherpa,2014.0,M,Nepal,sherpa,
45156,Lhakpa Tenjing Sherpa,2014.0,M,Nepal,sherpa,
45157,Phurba Ongyal Sherpa,2014.0,M,Nepal,sherpa,
45439,Ang Tshiri Sherpa,2014.0,M,Nepal,sherpa,
45440,Ngima Sherpa,2014.0,M,Nepal,sherpa,
45442,Tenzing Chhetar Sherpa,2014.0,M,Nepal,sherpa,
45532,Pem Tenji Sherpa,2014.0,M,Nepal,sherpa,
45561,Chhewang Sherpa,2014.0,M,Nepal,sherpa,Died 1 May 2014 at home in Taksindu from injuries resulting from lightning strike
45754,Marisa Eve Girawong,2015.0,F,USA,non-sherpa,
45755,Chhimi Dawa Sherpa,2015.0,M,Nepal,sherpa,
45756,Dawa Chhiri Sherpa,2015.0,M,Nepal,sherpa,
45757,Jangbu Sherpa,2015.0,M,Nepal,sherpa,Died 30 April in Kathmandu from injuries suffered from avalanche
45758,Maila Rai,2015.0,M,Nepal,non-sherpa,
45759,Pemba Sherpa,2015.0,M,Nepal,sherpa,
45760,Pemba Yishi (Hissi) Sherpa,2015.0,M,Nepal,sherpa,
45777,Daniel Paul (Dan) Fredinberg,2015.0,M,USA,non-sherpa,
45866,Lhakpa Chhiring Sherpa,2015.0,M,Nepal,sherpa,
45867,Renu Fotedar,2015.0,F,Australia,non-sherpa,
46101,Tenjin Bhote,2015.0,M,Nepal,non-sherpa,
46102,Pasang Temba Sherpa,2015.0,M,Nepal,sherpa,
46103,Krishna Kumar Kulung Rai,2015.0,M,Nepal,non-sherpa,
46239,Shiva Kumar Shrestha,2015.0,M,Nepal,non-sherpa,
46425,Aash Bahadur Gurung,2014.0,M,Nepal,non-sherpa,
46426,Ang Kazi (Ankaji) Sherpa,2014.0,M,Nepal,sherpa,
46538,Eric Ary Arnold,2016.0,M,Netherlands,non-sherpa,
46542,Maria Elizabeth Strydom,2016.0,F,Australia,non-sherpa,
47039,Paresh Chandra Nath,2016.0,M,India,non-sherpa,
47040,Goutam Ghosh,2016.0,M,India,non-sherpa,
47041,Subhas Paul,2016.0,M,India,non-sherpa,Died later in descent at C3 next day
47739,Roland Anthony Yearwood,2017.0,M,USA,non-sherpa,Died of HACE
47885,Vladimir (Vlado) Strba,2017.0,M,Slovakia,non-sherpa,
47887,Goht Khuber Rai,2017.0,M,Nepal,non-sherpa,Died of a stroke/heart failure
